specific model of the car,engine type,engine cc,engine aspiration,gear type/transmission,number of gears,top speed (km/h),front brakes,rear brakes,front suspension,rear suspension,boot space (litres),seat capacity,number of doors,torque (Nm),time for 0-100 km/h (s),mileage,fuel type,year of the car,price (RM)
C_CLASS C200,,,,Automatic,,,,,,,,,,,,12000,Petrol,2023,228000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,17500,Petrol,2023,179800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,107500,Petrol,2017,82800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,62500,Petrol,2020,131800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,72500,Petrol,2019,111800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,152500,Petrol,2010,29800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,32500,Petrol,2020,170000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,79800,Petrol,2018,85800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,122500,Petrol,2019,92800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,162500,Petrol,2015,65800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,82500,Petrol,2017,63800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,22500,Petrol,2021,155000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,22500,Petrol,2021,162000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,87500,Petrol,2009,21800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,7500,Petrol,2021,155000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,42500,Petrol,2022,169000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,0,Petrol,2026,240332
C_CLASS C200,,,,Automatic,,,,,,,,,,,,62500,Petrol,2021,166000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,77500,Petrol,2020,123800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,72500,Petrol,2019,98800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,92500,Petrol,2016,67800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,7500,Petrol,2022,212000
C_CLASS C200,,,,Automatic,,,,,,,,,,,,42500,Petrol,2018,103800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,57500,Petrol,2016,82800
C_CLASS C200,,,,Automatic,,,,,,,,,,,,37500,Petrol,2022,158500
C_CLASS C200,,,,Automatic,,,,,,,,,,,,37499,Petrol,2020,149000
C_CLASS C200,,,,,,,,,,,,,,,,37499,Petrol,2022,158500
C_CLASS C200,,,,,,,,,,,,,,,,124999,Petrol,2019,85000
C_CLASS C200,,,,,,,,,,,,,,,,87499,Petrol,2019,104800
C_CLASS C200,,,,,,,,,,,,,,,,114999,Petrol,2019,84800
C_CLASS C200,,,,,,,,,,,,,,,,87499,Petrol,2020,99800
C_CLASS C200,,,,,,,,,,,,,,,,87499,Petrol,2020,99800
C_CLASS C200,,,,,,,,,,,,,,,,97499,Petrol,2019,90800
C_CLASS C200,,,,,,,,,,,,,,,,97499,Petrol,2019,90800
C_CLASS C200,,,,,,,,,,,,,,,,154999,Petrol,2010,18000
C_CLASS C200,,,,,,,,,,,,,,,,92499,Petrol,2016,59800
C_CLASS C200,,,,,,,,,,,,,,,,42499,Petrol,2018,103800
C_CLASS C200,,,,,,,,,,,,,,,,62499,Petrol,2023,163800
C_CLASS C200,,,,,,,,,,,,,,,,27499,Petrol,2020,147000
C_CLASS C200,,,,,,,,,,,,,,,,77499,Petrol,2017,76888
C_CLASS C200,,,,,,,,,,,,,,,,62499,Petrol,2021,155800
C_CLASS C200,,,,,,,,,,,,,,,,62499,Petrol,2018,71888
C_CLASS C200,,,,,,,,,,,,,,,,72499,Petrol,2018,75900
C_CLASS C200,,,,,,,,,,,,,,,,27499,Petrol,2023,188800
C_CLASS C200,,,,,,,,,,,,,,,,32499,Petrol,2023,228000
C_CLASS C200,,,,,,,,,,,,,,,,134999,Petrol,2016,59888
C_CLASS C200,,,,,,,,,,,,,,,,97499,Petrol,2014,57800
C_CLASS C200,,,,,,,,,,,,,,,,124999,Petrol,2016,59800
C_CLASS C200,,,,,,,,,,,,,,,,32499,Petrol,2023,228000
C_CLASS C200,,,,,,,,,,,,,,,,97499,Petrol,2016,58900
C_CLASS C200,,,,,,,,,,,,,,,,92499,Petrol,2016,59888
C_CLASS C200,,,,,,,,,,,,,,,,77499,Petrol,2019,78900
C_CLASS C200,,,,,,,,,,,,,,,,124999,Petrol,2011,28888
C_CLASS C200,,,,,,,,,,,,,,,,124999,Petrol,2017,69800
C_CLASS C200,,,,,,,,,,,,,,,,47499,Petrol,2018,99800
C_CLASS C200,,,,,,,,,,,,,,,,52499,Petrol,2022,155999
C_CLASS C200,,,,,,,,,,,,,,,,52499,Petrol,2022,155999
C_CLASS C200,,,,,,,,,,,,,,,,62499,Petrol,2022,189000
C_CLASS C200,,,,,,,,,,,,,,,,2499,Petrol,2022,203000
C_CLASS C200,,,,,,,,,,,,,,,,104999,Petrol,2016,60800
C_CLASS C200,,,,,,,,,,,,,,,,82499,Petrol,2019,87800
C_CLASS C200,,,,,,,,,,,,,,,,67499,Petrol,2018,84800
C_CLASS C200,,,,,,,,,,,,,,,,72499,Petrol,2019,89630
C_CLASS C200,,,,,,,,,,,,,,,,224999,Petrol,1996,6999
C_CLASS C200,,,,,,,,,,,,,,,,87499,Petrol,2016,63800
C_CLASS C200,,,,,,,,,,,,,,,,87499,Petrol,2016,66800
